problem	airport	2.38	ongelma	lentokenttä		
car	flight	4.94	auto	lento		
credit	card	8.06	luotto	kortti		yhdyssana
credit	information	5.31	luotto	informaatio		
hotel	reservation	8.03	hotelli	varaus		
grocery	money	5.94	ruokakauppa	raha		
registration	arrangement	6.00	rekisteröityminen	järjestely		
arrangement	accommodation	5.41	järjestely	majoitus		
month	hotel	1.81	kuukausi	hotelli		
type	kind	8.97	tyyppi	laji	!	
arrival	hotel	6.00	saapuminen	hotelli		
bed	closet	6.72	sänky	kaappi		
closet	clothes	8.00	kaappi	vaatteet		
situation	conclusion	4.81	tilanne	johtopäätös		
situation	isolation	3.88	tilanne	eristys		
impartiality	interest	5.16	tasapuolisuus	kiinnostus		
direction	combination	2.25	suunta	yhdistelmä		
street	place	6.44	katu	paikka		
street	avenue	8.88	katu	bulevardi		
street	block	6.88	katu	kortteli		
street	children	4.94	katu	lapset		yhdyssana
listing	proximity	2.56	luettelo	läheisyys		
listing	category	6.38	luettelo	kategoria		
cell	phone	7.81	solu	puhelin		yhdyssana
production	hike	1.75	tuotanto	vaellus		
benchmark	index	4.25	mittapuu	indeksi		
media	trading	3.88	media	kaupankäynti		
media	gain	2.88	media	kasvu		
dividend	payment	7.63	osinko	maksu	!	
dividend	calculation	6.48	osinko	lasku	!	
calculation	computation	8.44	lasku	laskelma	!	
currency	market	7.50	valuutta	markkinat		
OPEC	oil	8.59	OPEC	öljy		
oil	stock	6.34	öljy	varasto	!	yhdyssana
announcement	production	3.38	ilmoitus	tuotanto		
announcement	warning	6.00	ilmoitus	varoitus		
profit	warning	3.88	voitto	varoitus		
profit	loss	7.63	voitto	tappio		
dollar	yen	7.78	dollari	jeni		
dollar	buck	9.22	dollari	taala	!	
dollar	profit	7.38	dollari	voitto		
dollar	loss	6.09	dollari	tappio		
computer	software	8.50	tietokone	ohjelmisto		
network	hardware	8.31	verkosto	laitteisto		
phone	equipment	7.13	puhelin	varuste		
equipment	maker	5.91	varuste	tekijä		
luxury	car	6.47	luksus	auto		yhdyssana
five	month	3.38	viisi	kuukausi		
report	gain	3.63	raportti	kasvu		
investor	earning	7.13	sijoittaja	ansaitseminen		
liquid	water	7.89	neste	vesi		
baseball	season	5.97	baseball	kausi	!	yhdyssana
game	victory	7.03	peli	voitto	!	voitto on nyt merkityksissä victory ja profit
game	team	7.69	peli	joukkue		
marathon	sprint	7.47	maraton	pikamatka		
game	series	6.19	peli	sarja		
game	defeat	6.97	peli	häviö		pitäisikö olla: tappio
seven	series	3.56	seitsemän	sarja		
seafood	sea	7.47	kalaruoka	meri		
seafood	food	8.34	kalaruoka	ruoka		
seafood	lobster	8.70	kalaruoka	hummeri	!	
lobster	food	7.81	hummeri	ruoka		
lobster	wine	5.70	hummeri	viini		
food	preparation	6.22	ruoka	valmistus		
video	archive	6.34	video	arkisto		
start	year	4.06	alku	vuosi		
start	match	4.47	alku	ottelu		
game	round	5.97	peli	kierros		
boxing	round	7.61	nyrkkeily	kierros		yhdyssana
championship	tournament	8.36	mestaruus	turnaus		
fighting	defeating	7.41	tappeleminen	päihittäminen		
line	insurance	2.69	viiva	vakuutus		
day	summer	3.94	päivä	kesä		
summer	drought	7.16	kesä	kuivuus		
summer	nature	5.63	kesä	luonto		
day	dawn	7.53	päivä	aamunkoitto		
nature	environment	8.31	luonto	ympäristö		
environment	ecology	8.81	ympäristö	ekologia		
nature	man	6.25	luonto	ihminen	!	mies?
man	woman	8.30	mies	nainen		
man	governor	5.25	mies	kuvernööri		
murder	manslaughter	8.53	murha	tappo		
soap	opera	7.94	saippua	ooppera	!	yhdyssana
opera	performance	6.88	ooppera	esitys		
life	lesson	5.94	elämä	opetus		yhdyssana
focus	life	4.06	fokus	elämä		
production	crew	6.25	tuotanto	työryhmä	!	
television	film	7.72	televisio	elokuva		
lover	quarrel	6.19	rakastaja	erimielisyys		
viewer	serial	2.97	katsoja	jatkokertomus	!	
possibility	girl	1.94	mahdollisuus	tyttö		
population	development	3.75	väkiluku	kehitys	!	
morality	importance	3.31	moraali	tärkeys		
morality	marriage	3.69	moraali	avioliitto		
Mexico	Brazil	7.44	Meksiko	Brasilia		
gender	equality	6.41	sukupuoli	tasa-arvo		yhdyssana
change	attitude	5.44	muutos	asenne		
family	planning	6.25	perhe	suunnittelu		yhdyssana
opera	industry	2.63	ooppera	teollisuus		
sugar	approach	0.88	sokeri	lähestymistapa		
practice	institution	3.19	harjoitus	instituutio		
ministry	culture	4.69	ministeriö	kulttuuri		
problem	challenge	6.75	ongelma	haaste		
size	prominence	5.31	koko	etevyys		
country	citizen	7.31	maa	kansalainen		
planet	people	5.75	planeetta	ihmiset		
development	issue	3.97	kehitys	ongelma	!	
experience	music	3.47	kokemus	musiikki		
music	project	3.63	musiikki	projekti		
glass	metal	5.56	lasi	metalli		
aluminum	metal	7.83	alumiini	metalli		
chance	credibility	3.88	mahdollisuus	uskottavuus		
exhibit	memorabilia	5.31	näyttelyesine	muistoesine		onkohan ihmiset tienneet nuo sanat
concert	virtuoso	6.81	konsertti	virtuoosi		
rock	jazz	7.59	rock	jazz		
museum	theater	7.19	museo	teatteri		
observation	architecture	4.38	havainto	arkkitehtuuri		
space	world	6.53	avaruus	maailma	!	
preservation	world	6.19	säilöntä	maailma		
admission	ticket	7.69	sisäänpääsy	lippu		
shower	thunderstorm	6.31	suihku	ukkosmyrsky		
shower	flood	6.03	suihku	tulva		
weather	forecast	8.34	sää	ennuste		yhdyssana
disaster	area	6.25	katastrofi	alue		yhdyssana
governor	office	6.34	kuvernööri	virka	!	
architecture	century	3.78	arkkitehtuuri	vuosisata		
